"A1_CITY","A2_PROVINCE","B3_GENDER","B4_AGE","B5_RELIGION","B6_ETHNIC","B7_EDUCATION_LEVEL","B8_LIVED_IN_URBAN_AREA_YEARS","B9_OCCUPATION","B10_SOCIAL_CLAS","B11_HOUSEHOLD_MEMBER","C12_HOUSEHOLD_INCOME_MONTHLY_IN_MILLION_IDR","C13_TIME_OF_INCOME_RECEIPT","C14_HOUSEHOLD_EXPENDITURE_MONTHLY_IN_MILLION_IDR","C15_%_MONTHLY_EXPENDITURE_FOR_FOOD","D16_HEALTH_FACTOR","D17_PRICE_FACTOR","E18_RELIGIOUS_VALUE_IN_TYPE_OF_FOOD","E19_RELIGIOUS_VALUE_IN_EATING_PLACES","E20_RELIGIOUS_VALUE_IN_CONSUMPTION_PATTERN","E21_CUSTOM_VALUE_IN_TYPE_OF_FOOD","E22_CUSTOM_VALUE_IN_EATING_PLACES","E23_CUSTOM_VALUE_IN_CONSUMPTION_PATTERN","24_PRACTICE_OF_FOOD_CONSUMPTION_BASED_ON_RELIGIOUS_RULES","25_PRACTICE_OF_FOOD_CONSUMPTION_BASED_ON_CUSTOM_RULES","E26_BUYING_FOOD_PRODUCT_IN_THE_RIGHT_PLACE_BASED_ON_RELIGIOUS_RULES","E27_TYPE_OF_DISHES_VARIATION_BASED_ON_RELIGIOUS_RULES","E28_PRACTICE_OF_CONSUMING_TRADITIONAL_FOOD","SOURCE_FILE","PROCESS_DATE"
"JAKARTA","DKI JAKARTA","FEMALE","31","ISLAM","JAVA","SENIOR HIGH SCHOOL","31","PRIVATE EMPLOYEES","LOWER CLASS","5","03:08:00","DAILY","03:02:00","57","DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","36","ISLAM","JAVA","BACHELOR DEGREE","32","PRIVATE EMPLOYEES","LOWER CLASS","6","04:02:00","WEEKLY","04:01:00","43","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","24","ISLAM","JAVA","SENIOR HIGH SCHOOL","24","PRIVATE EMPLOYEES","MIDDLE CLASS","5","05:08:00","WEEKLY","05:05:00","38","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","63","ISLAM","OTHER","SENIOR HIGH SCHOOL","32","PRIVATE EMPLOYEES","LOWER CLASS","5","03:01:00","DAILY","02:08:00","61","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","43","PROTESTANT","BATAK","PRIMARY SCHOOL","43","GOVERNMENT EMPLOYEES","LOWER CLASS","6","03:04:00","DAILY","03:01:00","58","STRONGLY DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","47","PROTESTANT","JAVA","SENIOR HIGH SCHOOL","47","GOVERNMENT EMPLOYEES","LOWER CLASS","6","04:01:00","WEEKLY","05:03:00","34","DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DISAGREE","DISAGREE","STRONGLY AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","28","CATHOLIC","JAVA","SENIOR HIGH SCHOOL","28","ENTERPRENEUR","UPPER CLASS","7","13:00:00","MONTHLY","11:08:00","26","AGREE","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","48","ISLAM","JAVA","SENIOR HIGH SCHOOL","31","ENTERPRENEUR","LOWER CLASS","6","03:02:00","DAILY","02:06:00","57","DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","36","ISLAM","JAVA","SENIOR HIGH SCHOOL","36","ENTERPRENEUR","UPPER CLASS","6","10:03:00","MONTHLY","10:00:00","24","NEITHER AGREE NOR DISAGREE","DISAGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","39","PROTESTANT","OTHER","BACHELOR DEGREE","19","PRIVATE EMPLOYEES","UPPER CLASS","7","14:02:00","MONTHLY","13:09:00","27","STRONGLY AGREE","DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
